attempt_id	commit	parent_commit	timestamp_utc	accuracy	parameters	status	description	proposal	train_exit	verify_exit
baseline	1ec34ca45fa2e5e0ffa98b37e106567ab1e2b0d8		2026-08-17T01:09:29.225737+00:00	100.000000%	6080	keep	initial 6080-parameter pretrained starting model	baseline qualification check		0
attempt-0001	f32ca53d7e27b6dfd59c1c7be2a16efe9cc0aff7	1ec34ca45fa2e5e0ffa98b37e106567ab1e2b0d8	2026-08-17T01:40:33.796314+00:00			error	Replace learned absolute positions with fixed sinusoidal encoding; parameterization-preserving positional representation substitution.	Family: position representation. Retained incumbent is 6080 parameters at 100.000000%, a +1.000000 percentage-point margin over 99%. Same-family history: no prior accepted or failed result; 0 prior attempts. Hypothesis: fixed sinusoidal position features preserve the alignment signal required by reversed addition while eliminating the learned 35x16 table (560 parameters). This is a representational change, not merely a parameterization-preserving compression. This repairs the unlogged infrastructure failure in the first launch before any train/verify evidence. It is more informative than the nearest untested alternative, deleting position information entirely, because it separates learned position capacity from the need for an ordering signal.	0	
attempt-0002	fa13945962a6fc4ae4c712ab20b0959d2f1c90a1	1ec34ca45fa2e5e0ffa98b37e106567ab1e2b0d8	2026-08-17T01:52:58.217944+00:00	99.950000%	5824	keep	Reduce each feed-forward hidden width from 48 to 44 while retaining learned positions and all other baseline mechanisms.	Family: feed-forward width. Retained incumbent is 6080 parameters at 100.000000%, a +1.000000 percentage-point margin over 99%. Same-family history: no prior accepted or failed result; 0 prior attempts. The distinct position-representation attempt failed as an optimization failure (0% validation throughout 30000 steps, no checkpoint), so it does not establish a feed-forward capacity boundary. Hypothesis: a 44-wide GELU bottleneck retains sufficient carry and digit-processing capacity while saving 256 parameters, from 6080 to 5824. This is a parameterization-preserving compression, not a representational change. It is more informative than the nearest untested alternative, a larger width reduction to 40, because it locates the first compression boundary with the smallest coherent decrement.	0	0
attempt-0003	02fc67e1ea918cac3e24c0cb4067cddf8fc6611b	fa13945962a6fc4ae4c712ab20b0959d2f1c90a1	2026-08-17T02:58:47.722997+00:00	99.910000%	4288	keep	[automation:ff-width-descend] Monotonic descending sweep of feed-forward widths below the retained 44-wide bottleneck, one candidate per runner-mediated micro-trial. | Tested feed-forward widths 40, 36, 32, 28, 24, and 20 in descending order. All six micro-trials qualified and were retained; the final frontier is ff=20 with 4288 parameters and 99.910000% official development-verifier accuracy. There were no scored failures or errors. Compute used: 6 x 30000 = 180000 training steps, about 52 minutes wall-clock from the archived micro-trial timestamps. Stopped because the declared six-micro-trial cap was reached, as recorded by AUTOMATION_TRIGGER.json.	Family: feed-forward width. Retained incumbent is 5824 parameters at 99.950000%, a +0.950000 percentage-point margin over 99%. Same-family history: accepted attempt-0002 at ff=44 (5824, 99.95%); no scored failure; 1 prior attempt. Hypothesis: the retained 44-wide bottleneck may tolerate further four-channel decrements while learned positional embeddings and attention remain fixed. This is a parameterization-preserving compression, not a representational change. Ordering: test ff widths 40, 36, 32, 28, 24, 20 in descending order, always from the retained source. Acceptance/rollback: the runner retains only a qualified strictly smaller candidate and otherwise restores the incumbent; after any scored discard or error, stop because the monotonic smaller-width branch is ineligible until a different mechanism changes the hypothesis. Stopping: first discard/error, no eligible widths, or six micro-trials. Maximum micro-trials: 6. Compute budget: at most 180000 training steps and six runner training windows (21600 seconds configured maximum); no train, verify, retain, or discard action occurs outside the runner. This is more informative than jumping directly to ff=32 because it resolves the nearest untested capacity boundary.		
attempt-0004	02fc67e1ea918cac3e24c0cb4067cddf8fc6611b	02fc67e1ea918cac3e24c0cb4067cddf8fc6611b	2026-08-17T03:08:03.328257+00:00			discard	[automation:ff-width-low] Continue the bounded monotonic feed-forward-width sweep from retained width 20 through lower four-channel bottlenecks. | Attempted the declared low-width range beginning with ff=16. The first micro-trial was an optimization failure: it completed 30000 steps in 8.4 minutes but validation plateaued near 11.4%, never met the checkpoint gate, and therefore had no official score. No candidate was retained; frontier remains ff=20 at 4288 parameters and 99.910000%. Compute used: 30000 training steps. Stopped because the scored error changed the monotonic smaller-width eligibility rule; widths 12, 8, and 4 were not run.	Family: feed-forward width. Retained incumbent is 4288 parameters at 99.910000%, a +0.910000 percentage-point margin over 99%. Same-family history: most recent accepted result is micro-0006 at ff=20 (4288, 99.91%); no scored failure; 2 prior family macro-attempts comprising 7 scored candidates. Hypothesis: the retained 20-wide bottleneck may still contain redundant channels, but the remaining capacity margin makes a fine, ordered sweep necessary. This is a parameterization-preserving compression, not a representational change. Ordering: test ff widths 16, 12, 8, 4 in descending order. Acceptance/rollback: the runner retains only a qualified strictly smaller candidate and restores the incumbent otherwise; any scored discard/error stops the smaller-width branch because it changes the declared monotonic eligibility rule. Stopping: first discard/error, no eligible widths, or four micro-trials. Maximum micro-trials: 4. Compute budget: at most 120000 training steps and four configured 3600-second runner windows; all training, verification, and retention remain exclusively in run_attempt.py. This is more informative than skipping to ff=12 because ff=16 is the nearest untested width and directly locates the next boundary.		
attempt-0005	7fa4b04c82ac810b26da7a9a885b3bb698cd9982	02fc67e1ea918cac3e24c0cb4067cddf8fc6611b	2026-08-17T03:16:08.561321+00:00			error	Tie the two sequential transformer-block applications to one shared block while retaining two recurrent depth applications, learned positions, and ff=20.	Family: parameter tying. Retained incumbent is 4288 parameters at 99.910000%, a +0.910000 percentage-point margin over 99%. Same-family history: the baseline's tied input/output embedding was accepted at 6080 parameters and 100.000000%; there is no prior cross-layer-tying failure and 0 prior cross-layer-tying candidate attempts. The most recent width-family failure was an optimization failure at ff=16 (validation peaked at 11.4% after 30000 steps), which establishes a feed-forward boundary but not a sharing boundary. Hypothesis: repeated application of one learned transformer block can preserve the two-stage computation needed for carry propagation while removing the second block's independent parameters, reducing 4288 to 2560. This is a representational parameter-tying change, not scalar pruning. It is more informative than the nearest untested alternative, tying only a subprojection such as attention QKV, because it tests whether full block-specific depth capacity is needed while retaining exactly two attention applications.	0	
attempt-0006	8283b3e78a8dca7557c9afa83c7235e5d0dff2ce	02fc67e1ea918cac3e24c0cb4067cddf8fc6611b	2026-08-17T03:27:01.137995+00:00	99.660000%	3528	keep	Reduce the shared latent width from d=16 to d=14 while retaining two untied two-head blocks, learned positions, and ff=20.	Family: attention organization. Retained incumbent is 4288 parameters at 99.910000%, a +0.910000 percentage-point margin over 99%. Same-family history: no prior accepted or failed result; 0 prior attempts. The nearest scalar-pruning boundary ff=16 was an optimization failure (validation peaked at 11.4% after 30000 steps), and full-block parameter tying likewise failed (peak 9.7%), but neither tests per-head latent dimensionality. Hypothesis: reducing d_model from 16 to 14 while retaining two heads changes each head from 8 to 7 channels and may preserve the separate attention pathways while removing 760 parameters, from 4288 to 3528. This is a parameterization-preserving latent-width compression, not a representational substitution. It is more informative than the nearest untested alternative d=12 because d=14 supplies the smallest valid two-head decrement and locates the next attention-capacity boundary.	0	0
attempt-0007	8283b3e78a8dca7557c9afa83c7235e5d0dff2ce	8283b3e78a8dca7557c9afa83c7235e5d0dff2ce	2026-08-17T03:36:33.374194+00:00			discard	[automation:dmodel-descend] Monotonic descending sweep of valid two-head latent widths below the retained d=14 architecture. | Attempted the declared two-head latent-width range beginning at d=12. The first micro-trial was an optimization failure: it completed 30000 steps in 8.3 minutes but validation peaked at 7.6%, never produced a checkpoint, and consequently had no official score. No candidate was retained; frontier remains d=14, ff=20 at 3528 parameters and 99.660000%. Compute used: 30000 training steps. Stopped because the scored error changed the monotonic lower-width eligibility rule; d=10, 8, 6, 4, and 2 were not run.	Family: attention organization. Retained incumbent is 3528 parameters at 99.660000%, a +0.660000 percentage-point margin over 99%. Same-family history: accepted attempt-0006 at d=14 (3528, 99.66%); no scored failure; 1 prior attempt. Hypothesis: the retained d=14 two-head representation may tolerate additional even-width compression while retaining two independent attention pathways. This is a parameterization-preserving latent-width compression, not a representational substitution. Ordering: test d_model values 12, 10, 8, 6, 4, 2 in descending order with n_heads=2 and ff=20 fixed. Acceptance/rollback: the runner retains only a qualified smaller candidate and restores the incumbent otherwise; stop on any scored discard/error because smaller widths are then ineligible under the declared monotonic policy. Stopping: first discard/error, no eligible widths, or six micro-trials. Maximum micro-trials: 6. Compute budget: at most 180000 training steps and six configured runner windows (21600 seconds); no training, verification, retention, or silent discarding occurs outside run_attempt.py. This is more informative than skipping to d=10 because d=12 is the nearest untested valid two-head decrement.		
attempt-0008	df0a176b16a8aa8a52594eec1f9ef1e3adf17de9	8283b3e78a8dca7557c9afa83c7235e5d0dff2ce	2026-08-17T03:43:49.681134+00:00			error	Use a single untied decoder block at d=14, h=2, ff=20 while retaining learned positions and the autoregressive attention path.	Family: attention organization. Retained incumbent is 3528 parameters at 99.660000%, a +0.660000 percentage-point margin over 99%. Same-family history: accepted attempt-0006 reduced latent width to d=14 (3528, 99.66%); the subsequent d=12 sweep failed as an optimization failure (7.6% peak validation after 30000 steps); 2 prior family macro-attempts. Hypothesis: the two-block retained model may have depth redundancy, and one full self-attention-plus-feed-forward block may suffice for this fixed-format autoregressive task while retaining the required attention layer. This is a parameterization-preserving depth compression, not a representational change. It is more informative than the nearest untested alternative, removing or simplifying only the feed-forward sublayer, because it first establishes whether the entire second computational stage is necessary.	0	
attempt-0009	5e15ca9b01e1065a9bac045666386b22c8d9e8c7	8283b3e78a8dca7557c9afa83c7235e5d0dff2ce	2026-08-17T03:44:24.846194+00:00			error	Remove additive bias parameters from all five LayerNorm instances while retaining their learned scales and baseline depth/width.	Family: normalization. Retained incumbent is 3528 parameters at 99.660000%, a +0.660000 percentage-point margin over 99%. Same-family history: no prior accepted or failed result; 0 prior attempts. The one-layer attention variant was an optimization failure (0% validation after 30000 steps), but it does not test normalization offsets. Hypothesis: LayerNorm's learned additive offsets are redundant in this bias-free residual network; retaining scales and centering/variance normalization may preserve learning while eliminating those parameters. This is a parameterization-preserving scalar compression, not a representational substitution. It is more informative than the nearest untested alternative, replacing LayerNorm with RMSNorm, because removing offsets first cleanly attributes any effect to the learned shifts rather than to changing the normalization statistic.	1	
