attempt_id	commit	parent_commit	timestamp_utc	accuracy	parameters	status	description	proposal	train_exit	verify_exit
baseline	394c657b16ab7bfd7bba1c0d7644e9b0e371d25f		2026-08-17T01:17:44.078199+00:00	100.000000%	6080	keep	initial 6080-parameter pretrained starting model	baseline qualification check		0
attempt-0001	47abdd57a118cad0694dadcea7c621660d0953f9	394c657b16ab7bfd7bba1c0d7644e9b0e371d25f	2026-08-17T01:39:58.316394+00:00			error	Tie the two depth applications to one shared d16 h2 ff48 block	family: parameter tying; retained incumbent is 6080 parameters at 100.0000%, a +1.00 percentage-point margin over 99%. Same-family accepted result: none (baseline is the starting incumbent); same-family failed result: none; prior attempts in this family: 0. Hypothesis: reusing one block twice preserves two causal self-attention applications while removing duplicate block parameters, testing parameterization-preserving compression. This is more informative than the nearest untested one-layer deletion because it isolates whether repeated depth computation is useful without removing the second attention application. Candidate uses tie_layers=True, otherwise unchanged; retain only if official accuracy is at least 99% and strictly below 6080 parameters.	0	
attempt-0002	94ab87f45bd859ad38b8dc00072401db9c27b215	394c657b16ab7bfd7bba1c0d7644e9b0e371d25f	2026-08-17T01:48:53.616882+00:00	99.980000%	5056	keep	Reverse operand columns and reduce ff width to 32 at d16	family: token representation; retained incumbent is 6080 parameters at 100.0000%, a +1.00 percentage-point margin over 99%. Same-family accepted result: none; same-family failed result: none; prior attempts in this family: 0. The latest different-family result, attempt-0001, was a 3456-parameter shared-block optimization failure at 75.95% validation after 30000 steps. Hypothesis: reversing both padded operands aligns least-significant columns with the reversed answer, reducing the positional lookup burden; the paired ff48-to-ff32 compression tests whether that alignment can support an eligible 5056-parameter model. This is more informative than the nearest untested binary-token encoding because it preserves the vocabulary and directly tests column alignment while making only one capacity reduction. The candidate uses the same d16, h2, L2 attention stack, ff32, 15000 training steps, and final-checkpoint fallback; retain only official accuracy >=99% and strictly fewer than 6080 parameters.	0	0
attempt-0003	37fcaaf07201b440cd4f8d024c519b6cefa4c268	94ab87f45bd859ad38b8dc00072401db9c27b215	2026-08-17T01:55:01.222297+00:00	0.010000%	4496	discard	Replace learned positions with fixed sinusoidal positions	family: position representation; retained incumbent is 5056 parameters at 99.9800%, a +0.98 percentage-point margin over 99%. Same-family accepted result: none; same-family failed result: none; prior attempts in this family: 0. The latest accepted result is attempt-0002, which retained reversed operands with learned positions, d16/h2/L2 and ff32 at 5056 parameters; attempt-0001 was a different-family parameter-tying optimization failure. Hypothesis: fixed sinusoidal positions retain explicit order and column information while removing the 560-parameter learned position table, yielding 4496 parameters. This is more informative than deleting positional information because it isolates learned-versus-deterministic position representation at unchanged model width and attention organization. Training remains 15000 steps with final-checkpoint fallback; retain only official accuracy >=99% and strictly below 5056 parameters.	0	0
attempt-0004	b9427ae1abceda65e37ed19aa3450a007501fe85	94ab87f45bd859ad38b8dc00072401db9c27b215	2026-08-17T01:56:12.518285+00:00			error	Factor learned positions into segment and shared column embeddings	family: position representation; retained incumbent is 5056 parameters at 99.9800%, a +0.98 percentage-point margin over 99%. Same-family accepted result: none; same-family failed result: attempt-0003, 4496 parameters at 0.01% official accuracy; prior attempts in this family: 1. The latest accepted result is attempt-0002 with learned absolute positions, reversed operands, d16/h2/L2 and ff32. Hypothesis revision after the sinusoidal nonqualification: keep learned positional features but factor them into seven segment-role rows and eleven shared column rows, preserving A/B/output roles and least-significant-column alignment while reducing positional parameters from 560 to 288, yielding 4784 parameters. This is more informative than retrying fixed sinusoids because it changes the failed deterministic basis to a learned structured basis and more directly tests whether parameter sharing across corresponding columns is safe. Training remains 15000 steps with final-checkpoint fallback; retain only official accuracy >=99% and strictly below 5056 parameters.	1	
attempt-0005	797be47e56273bd8016ee47fc56935e0cee7c882	94ab87f45bd859ad38b8dc00072401db9c27b215	2026-08-17T02:02:44.423771+00:00	8.850000%	4784	discard	Repair embedding call in structured position candidate	family: position representation; implementation repair of attempt-0004. Retained incumbent is 5056 parameters at 99.9800%, a +0.98 percentage-point margin over 99%. Same-family accepted result: none; same-family failed results: attempt-0003 nonqualification at 0.01% and attempt-0004 implementation error before scoring; prior attempts in this family: 2. Attempt-0004's train log shows the intended 4784-parameter seven-segment/eleven-column candidate failed only because an nn.Embedding module was indexed with brackets, raising TypeError before the first batch. This repair changes only those two calls to normal embedding-module invocation; it is more informative than a new position hypothesis because it recovers the already-specified candidate without altering its architecture or training conditions. Train for 15000 steps with final-checkpoint fallback; retain only official accuracy >=99% and strictly below 5056 parameters.	0	0
attempt-0006	447c70d51996606606c2d04ada6dcfa6c04b1f5b	94ab87f45bd859ad38b8dc00072401db9c27b215	2026-08-17T02:03:20.800588+00:00			error	Remove affine scale and bias from final LayerNorm	family: normalization; retained incumbent is 5056 parameters at 99.9800%, a +0.98 percentage-point margin over 99%. Same-family accepted result: none; same-family failed result: none; prior attempts in this family: 0. The latest accepted result is attempt-0002; position-representation attempts 0003 and 0005 scored 0.01% and 8.85% respectively, so this proposal keeps the learned position table unchanged. Hypothesis: final LayerNorm's learned scale and bias are redundant after the two pre-norm blocks; removing only its 32 affine parameters should preserve normalization while yielding 5024 parameters. This is more informative than removing affine terms from every LayerNorm because it isolates the final projection interface and keeps internal optimization stabilizers intact. Train for 15000 steps with final-checkpoint fallback; retain only official accuracy >=99% and strictly below 5056 parameters.	1	
attempt-0007	aa914c607b71c61b2eab8f6b4bb89092a5828b1e	94ab87f45bd859ad38b8dc00072401db9c27b215	2026-08-17T02:09:20.817163+00:00	2.600000%	5024	discard	Repair initializer for affine-free final LayerNorm	family: normalization; implementation repair of attempt-0006. Retained incumbent is 5056 parameters at 99.9800%, a +0.98 percentage-point margin over 99%. Same-family accepted result: none; same-family failed result: attempt-0006, an implementation error before training because the initializer called ones_ on None for affine-free LayerNorm; prior attempts in this family: 1. The intended candidate remains final LayerNorm with elementwise_affine=False, 5024 parameters, while block LayerNorms and all other code stay unchanged. This repair adds None checks in the initializer and re-applies only the intended final-LayerNorm change; it is more informative than a new normalization variant because it recovers the exact unscored hypothesis. Train for 15000 steps with final-checkpoint fallback; retain only official accuracy >=99% and strictly below 5056 parameters.	0	0
attempt-0008	dd4da4b1e1776d874fda3baea700956723c4fb5d	94ab87f45bd859ad38b8dc00072401db9c27b215	2026-08-17T02:15:41.474949+00:00	98.840000%	4544	discard	Reduce feed-forward width from 32 to 24	family: feed-forward width; retained incumbent is 5056 parameters at 99.9800%, a +0.98 percentage-point margin over 99%. Same-family accepted result: none; same-family failed result: none; prior attempts in this family: 0. The latest accepted result is attempt-0002 with d16/h2/L2 and ff32; normalization attempt-0007 reached only 2.6% and is not capacity evidence for this family. Hypothesis: the reversed operand representation supplies the alignment inductive bias, so the two FFNs may be narrowed from 32 to 24 without losing the learned carry transformation, yielding an eligible 4800-parameter model. This is more informative than a large width jump because it tests the nearest untested interpolation from the accepted ff32 boundary with all other mechanisms fixed. Train for 15000 steps with final-checkpoint fallback; retain only official accuracy >=99% and strictly below 5056 parameters.	0	0
attempt-0009	851e9a11e9fd0f8697628890ae3771eb6fdd1bc5	94ab87f45bd859ad38b8dc00072401db9c27b215	2026-08-17T02:26:32.987524+00:00	99.990000%	4544	keep	Retrain ff24 candidate for 30000 steps	family: training control; retained incumbent is 5056 parameters at 99.9800%, a +0.98 percentage-point margin over 99%. Same-family accepted result: none; same-family failed result: none; prior attempts in this family: 0. The latest feed-forward result, attempt-0008, was the same reversed-input d16/h2/L2 ff24 model at 4544 parameters and 98.84% after 15000 steps—near threshold but not qualified. Hypothesis: the near miss may be optimization-limited rather than a representational floor; extending only the training budget to 30000 steps tests that explanation without changing the candidate architecture. This is more informative than immediately narrowing ff again because it separates training insufficiency from capacity loss at the observed boundary. Retain only official accuracy >=99% and strictly below 5056 parameters.	0	0
